日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额
2025/2/12 10:00,108,超级直播,108,超级直播,6845496784,PY_早场,1152,95,168.53,0.08247,1.77,146.29,0,0,0,0,0,0,19.8,9.9,29.7,3,2,1,0.03158,0.18,56.18,0,0,0,0,0,0,,0,,0,,0,,0,,3,277.8,0,0,0,0,0,0,81,0,0,,0,0,0.07031,40,,0,,0,19.8,2,0,,
2025/2/12 0:00,108,超级直播,108,超级直播,6832775547,PY_晚场,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0,0,,
2025/2/11 23:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,0,2,0.95,,0.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,,0,,0,0,0,0,,
2025/2/11 23:00,108,超级直播,108,超级直播,6832775547,PY_晚场,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,
2025/2/11 22:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,196,35,77.44,0.17857,2.21,395.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0.05714,0,0,,2,38.72,2,38.72,0,,0,38.72,0,0,0,0,0,0,0,2,169,0,0,,0,0,0.86224,135,,0,,0,0,0,0,,
2025/2/11 22:00,108,超级直播,108,超级直播,6832775547,PY_晚场,171,11,62.68,0.06433,5.7,366.55,0,0,0,0,0,0,0,988,988,1,0,1,0.09091,15.76,62.68,6,1,5,0.54545,0,0,,6,10.45,6,10.45,0,,0,10.45,1,988,0,0,0,0,0,2,75,0,0,,0,0,0.4386,9,,0,,0,0,0,0,,
2025/2/11 21:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,1442,325,209.16,0.22538,0.64,145.05,0,0,0,0,0,0,162.51,0,162.51,2,2,0,0.00615,0.78,104.58,1,1,0,0.00308,0,0,,1,209.16,1,209.16,0,,0,209.16,2,392.6,0,0,0,0,0,2,141,0,0,,0,0,0.09778,80,,0,,0,0,0,0,,
2025/2/11 21:00,108,超级直播,108,超级直播,8156344035,双十一直播间推广_20241016_v1_20250102,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,,
2025/2/11 21:00,108,超级直播,108,超级直播,6832775547,PY_晚场,238,15,65.37,0.06303,4.36,274.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0.13333,0,0,,2,32.69,2,32.69,0,,0,32.69,0,0,0,0,0,0,0,1,67,0,0,,0,0,0.28151,52,,0,,0,0,0,0,,
2025/2/11 20:00,108,超级直播,108,超级直播,9167257466,年货节直播计划推广_20250106_192647,519,102,163.46,0.19653,1.6,314.96,0,0,0,0,0,0,9.9,813.6,823.5,3,1,2,0.02941,5.04,54.49,3,0,3,0.02941,1,1,163.46,5,32.69,4,40.87,2,163.46,0.0098,54.49,3,958.2,1,0,0,0,0,0,55,0,0,,0,0,0.10597,32,,0,,0,0,0,0,,
2025/2/11 20:00,108,超级直播,108,超级直播,6832775547,PY_晚场,392,70,31.77,0.17857,0.45,81.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,,1,31.77,1,31.77,1,31.77,0.01429,,0,0,0,1,0,0,0,1,70,0,0,,0.01429,1,0.17857,24,,0,,0,0,0,0,,
2025/2/11 19:00,108,超级直播,108,超级直播,6832775547,PY_晚场,194,34,86.89,0.17526,2.56,447.86,0,0,0,0,0,0,59.4,0,59.4,6,6,0,0.17647,0.68,14.48,2,0,2,0.05882,0,0,,2,43.44,2,43.44,0,,0,43.44,10,926,0,0,0,0,0,2,117,0,0,,0.02941,1,0.60309,81,,0,,0,0,0,0,,
2025/2/11 18:00,108,超级直播,108,超级直播,6842845292,PY_中场,179,16,43.21,0.08939,2.7,241.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,,0,,0,,1,185.2,0,0,0,0,0,1,32,0,0,,0,0,0.17877,14,,0,,0,0,0,0,,
